axis-0,axis-1,axis-2
1021.222,720.743,74.000
1006.727,1487.799,6.000
978.183,1507.237,7.000
977.984,1507.334,8.000
984.066,1531.810,8.000
978.224,1507.369,9.000
984.491,1531.808,9.000
984.927,1531.610,9.000
978.377,1507.513,10.000
983.987,1531.458,10.000
984.500,1531.221,10.000
978.008,1507.556,11.000
983.249,1531.217,11.000
982.866,1531.246,12.000
977.291,1507.425,12.000
980.902,1530.565,12.000
978.190,1507.676,12.000
987.439,1530.919,12.000
983.402,1530.206,12.000
983.345,1531.672,13.000
976.656,1507.570,13.000
987.534,1531.115,13.000
981.216,1530.999,13.000
984.401,1531.724,14.000
975.923,1508.176,14.000
957.524,1519.325,35.000
985.874,1532.032,35.000
957.555,1519.359,36.000
957.504,1519.395,37.000
963.191,1512.605,38.000
963.136,1509.909,38.000
963.008,1511.012,39.000
963.318,1509.454,40.000
963.740,1509.192,41.000
964.384,1508.518,42.000
964.182,1508.610,43.000
963.842,1509.045,44.000
964.438,1510.307,44.000
963.199,1509.485,45.000
964.057,1510.720,45.000
962.616,1570.714,2.000
1018.528,1736.424,8.000
1017.909,1736.674,9.000
1017.561,1736.731,10.000
997.843,1551.706,15.000
997.323,1551.961,16.000
997.850,1552.957,17.000
997.697,1552.696,18.000
996.930,1552.386,19.000
996.062,1551.849,20.000
611.602,1942.784,26.000
611.094,1944.649,26.000
609.799,1941.299,27.000
854.413,1752.288,28.000
608.061,1940.880,28.000
852.776,1751.888,29.000
605.996,1940.901,29.000
1006.056,1545.296,29.000
926.047,1628.580,29.000
920.917,1553.709,29.000
851.933,1751.720,30.000
604.421,1941.035,30.000
924.844,1628.670,30.000
1005.057,1544.553,30.000
1004.229,1544.131,30.000
978.628,1545.044,30.000
851.492,1751.775,31.000
603.552,1941.430,31.000
924.544,1628.665,31.000
1004.689,1544.441,31.000
1003.701,1544.018,31.000
850.818,1752.051,32.000
604.915,1944.006,32.000
605.160,1943.143,32.000
923.816,1628.933,32.000
849.941,1751.828,33.000
607.164,1945.487,33.000
607.653,1945.857,33.000
848.910,1752.068,34.000
606.905,1945.545,34.000
994.694,1539.378,34.000
846.872,1752.288,35.000
993.863,1539.236,35.000
845.586,1752.434,36.000
977.345,1545.041,36.000
844.706,1752.662,36.000
979.091,1543.984,36.000
976.582,1544.639,37.000
844.237,1752.724,37.000
845.155,1752.485,37.000
978.349,1543.915,37.000
975.984,1544.592,38.000
844.000,1752.560,38.000
592.339,1938.934,38.000
975.524,1546.599,38.000
975.586,1544.345,39.000
978.011,1543.268,39.000
975.109,1544.087,40.000
977.358,1543.203,40.000
973.860,1543.569,41.000
971.992,1541.615,42.000
972.658,1542.896,42.000
970.225,1540.172,43.000
969.315,1538.803,44.000
554.700,1956.746,49.000
554.209,1958.031,49.000
555.312,1956.976,50.000
555.063,1957.939,50.000
554.928,1956.798,51.000
554.530,1956.561,52.000
554.693,1956.319,53.000
686.576,1832.452,53.000
686.208,1832.533,54.000
554.058,1955.801,54.000
686.309,1832.567,55.000
553.522,1954.604,55.000
911.944,1650.421,55.000
911.294,1651.802,55.000
687.043,1831.823,56.000
911.858,1649.864,56.000
911.342,1650.885,56.000
687.281,1831.358,57.000
912.467,1649.048,57.000
560.553,1963.048,57.000
912.657,1648.581,58.000
686.885,1831.250,58.000
911.669,1649.220,59.000
910.647,1650.713,59.000
686.734,1832.162,59.000
908.117,1651.958,60.000
906.696,1651.700,61.000
905.885,1651.543,62.000
905.006,1650.767,63.000
903.633,1649.922,64.000
825.251,1603.794,72.000
751.615,1541.105,88.000
750.624,1544.560,89.000
836.170,1841.911,164.000
835.372,1841.970,165.000
835.273,1843.281,165.000
835.319,1842.190,166.000
835.558,1843.405,166.000
835.146,1842.253,167.000
835.276,1843.461,167.000
834.413,1842.167,168.000
834.530,1843.467,168.000
833.408,1842.067,169.000
833.583,1843.488,169.000
1021.072,1654.544,176.000
967.063,2017.641,176.000
966.719,2017.640,177.000
1019.439,1653.498,177.000
1018.988,1653.634,178.000
1017.938,1652.551,178.000
1016.831,1651.488,179.000
1015.918,1649.461,179.000
961.963,2017.865,180.000
958.407,2017.921,181.000
959.342,2017.847,181.000
955.528,2017.743,182.000
953.096,2016.930,183.000
952.460,2017.980,185.000
952.136,2019.152,186.000
872.821,1719.265,187.000
871.731,1719.500,188.000
870.536,1718.098,189.000
869.844,1716.948,190.000
869.150,1716.994,191.000
868.042,1716.797,192.000
864.452,1712.517,192.000
866.167,1715.077,192.000
862.459,1710.585,192.000
869.255,1718.915,192.000
851.995,1701.696,194.000
853.420,1702.898,194.000
739.907,2184.397,131.000
739.821,2184.329,132.000
739.930,2184.489,133.000
739.831,2184.736,134.000
738.999,2185.030,135.000
738.249,2185.242,136.000
736.936,2185.437,137.000
735.559,2185.468,138.000
733.245,2185.997,139.000
730.793,2186.270,140.000
729.837,2187.027,140.000
727.310,2187.563,141.000
635.073,2367.352,181.000
635.957,2368.708,181.000
634.446,2368.577,182.000
634.154,2367.598,182.000
918.589,2211.446,182.000
633.479,2368.485,182.000
634.202,2368.639,183.000
634.054,2369.663,184.000
633.258,2370.499,184.000
634.468,2371.417,185.000
634.466,2371.473,186.000
938.639,2793.375,131.000
939.224,2791.517,131.000
940.515,2792.543,131.000
938.835,2793.175,132.000
939.212,2792.048,132.000
938.843,2793.105,133.000
938.662,2792.856,134.000
939.495,2791.913,134.000
939.138,2792.688,135.000
940.051,2792.559,136.000
940.839,2792.300,137.000
941.223,2791.809,138.000
941.525,2791.721,139.000
942.284,2791.764,140.000
942.964,2792.324,141.000
942.969,2792.527,142.000
943.162,2792.758,143.000
943.174,2791.705,143.000
942.848,2792.902,144.000
943.073,2791.743,144.000
942.372,2793.064,145.000
942.755,2791.758,145.000
942.232,2793.123,146.000
720.253,2749.172,201.000
1391.029,1019.631,32.000
1392.187,1019.269,33.000
1532.412,862.295,60.000
1453.093,1006.825,155.000
1451.904,1006.618,156.000
1308.217,1221.408,2.000
1307.672,1221.503,3.000
1306.855,1221.931,4.000
1306.481,1222.854,5.000
1305.609,1223.057,5.000
1306.443,1223.232,6.000
1305.144,1223.416,6.000
1522.017,1196.462,11.000
1521.440,1197.455,11.000
1521.031,1198.622,12.000
1521.716,1196.919,12.000
1520.928,1196.513,13.000
1520.549,1197.735,13.000
1519.962,1195.750,14.000
1518.848,1194.649,15.000
1064.487,1399.240,15.000
1066.830,1396.350,16.000
1068.404,1398.228,16.000
1516.973,1193.156,16.000
1515.571,1192.208,17.000
1069.601,1393.851,17.000
1069.641,1396.887,17.000
1514.312,1191.145,18.000
1070.617,1393.368,18.000
1069.679,1396.477,18.000
1513.448,1189.981,19.000
1071.205,1392.385,19.000
1069.584,1394.824,19.000
1514.690,1190.906,19.000
1512.284,1189.750,20.000
1071.234,1392.871,20.000
1513.487,1189.307,20.000
1070.526,1393.705,21.000
1511.337,1189.061,21.000
1513.130,1188.580,21.000
1069.679,1395.039,22.000
1511.730,1188.436,22.000
1512.451,1189.247,22.000
1067.831,1397.467,22.000
1070.116,1396.033,23.000
1069.850,1396.978,23.000
1512.147,1188.604,23.000
1067.790,1397.777,23.000
1509.256,1185.953,23.000
1067.802,1398.263,24.000
1068.540,1397.250,24.000
1514.317,1189.071,24.000
1513.219,1186.341,24.000
1066.694,1398.965,25.000
1513.795,1188.460,25.000
1501.054,1122.713,25.000
1512.863,1188.274,26.000
1500.970,1122.833,26.000
1419.961,1124.394,26.000
1512.540,1189.524,26.000
1512.321,1189.003,27.000
1500.377,1122.879,27.000
1511.946,1190.103,27.000
1512.239,1188.963,28.000
1512.068,1190.639,28.000
1510.852,1187.903,28.000
1512.737,1188.938,29.000
1500.459,1127.041,30.000
1520.371,1192.076,30.000
1499.592,1127.649,31.000
1522.911,1203.757,31.000
1498.428,1128.203,32.000
1497.370,1128.769,33.000
1497.263,1128.803,34.000
1497.171,1128.973,35.000
1496.613,1129.601,36.000
1496.867,1131.539,36.000
1496.107,1129.901,37.000
1495.363,1128.934,38.000
1494.176,1127.713,39.000
1492.070,1124.564,40.000
1502.018,1079.567,47.000
