axis-0,axis-1,axis-2
2.000,962.616,1570.714
8.000,1018.528,1736.424
9.000,1017.909,1736.674
10.000,1017.561,1736.731
15.000,997.843,1551.706
16.000,997.323,1551.961
17.000,997.850,1552.957
18.000,997.697,1552.696
19.000,996.930,1552.386
20.000,996.062,1551.849
26.000,611.602,1942.784
26.000,611.094,1944.649
27.000,609.799,1941.299
28.000,854.413,1752.288
28.000,608.061,1940.880
29.000,852.776,1751.888
29.000,605.996,1940.901
29.000,1006.056,1545.296
29.000,926.047,1628.580
29.000,920.917,1553.709
30.000,851.933,1751.720
30.000,604.421,1941.035
30.000,924.844,1628.670
30.000,1005.057,1544.553
30.000,1004.229,1544.131
30.000,978.628,1545.044
31.000,851.492,1751.775
31.000,603.552,1941.430
31.000,924.544,1628.665
31.000,1004.689,1544.441
31.000,1003.701,1544.018
32.000,850.818,1752.051
32.000,604.915,1944.006
32.000,605.160,1943.143
32.000,923.816,1628.933
33.000,849.941,1751.828
33.000,607.164,1945.487
33.000,607.653,1945.857
34.000,848.910,1752.068
34.000,606.905,1945.545
34.000,994.694,1539.378
35.000,846.872,1752.288
35.000,993.863,1539.236
36.000,845.586,1752.434
36.000,977.345,1545.041
36.000,844.706,1752.662
36.000,979.091,1543.984
37.000,976.582,1544.639
37.000,844.237,1752.724
37.000,845.155,1752.485
37.000,978.349,1543.915
38.000,975.984,1544.592
38.000,844.000,1752.560
38.000,592.339,1938.934
38.000,975.524,1546.599
39.000,975.586,1544.345
39.000,978.011,1543.268
40.000,975.109,1544.087
40.000,977.358,1543.203
41.000,973.860,1543.569
42.000,971.992,1541.615
42.000,972.658,1542.896
43.000,970.225,1540.172
44.000,969.315,1538.803
49.000,554.700,1956.746
49.000,554.209,1958.031
50.000,555.312,1956.976
50.000,555.063,1957.939
51.000,554.928,1956.798
52.000,554.530,1956.561
53.000,554.693,1956.319
53.000,686.576,1832.452
54.000,686.208,1832.533
54.000,554.058,1955.801
55.000,686.309,1832.567
55.000,553.522,1954.604
55.000,911.944,1650.421
55.000,911.294,1651.802
56.000,687.043,1831.823
56.000,911.858,1649.864
56.000,911.342,1650.885
57.000,687.281,1831.358
57.000,912.467,1649.048
57.000,560.553,1963.048
58.000,912.657,1648.581
58.000,686.885,1831.250
59.000,911.669,1649.220
59.000,910.647,1650.713
59.000,686.734,1832.162
60.000,908.117,1651.958
61.000,906.696,1651.700
62.000,905.885,1651.543
63.000,905.006,1650.767
64.000,903.633,1649.922
72.000,825.251,1603.794
88.000,751.615,1541.105
89.000,750.624,1544.560
164.000,836.170,1841.911
165.000,835.372,1841.970
165.000,835.273,1843.281
166.000,835.319,1842.190
166.000,835.558,1843.405
167.000,835.146,1842.253
167.000,835.276,1843.461
168.000,834.413,1842.167
168.000,834.530,1843.467
169.000,833.408,1842.067
169.000,833.583,1843.488
176.000,1021.072,1654.544
176.000,967.063,2017.641
177.000,966.719,2017.640
177.000,1019.439,1653.498
178.000,1018.988,1653.634
178.000,1017.938,1652.551
179.000,1016.831,1651.488
179.000,1015.918,1649.461
180.000,961.963,2017.865
181.000,958.407,2017.921
181.000,959.342,2017.847
182.000,955.528,2017.743
183.000,953.096,2016.930
185.000,952.460,2017.980
186.000,952.136,2019.152
187.000,872.821,1719.265
188.000,871.731,1719.500
189.000,870.536,1718.098
190.000,869.844,1716.948
191.000,869.150,1716.994
192.000,868.042,1716.797
192.000,864.452,1712.517
192.000,866.167,1715.077
192.000,862.459,1710.585
192.000,869.255,1718.915
194.000,851.995,1701.696
194.000,853.420,1702.898
