z,y,x,conf,tile_z,tile_y,tile_x,local_z
351.000,539.059,1015.239,0.128140,0,1,1,351
352.000,537.389,1013.011,0.102646,0,1,1,352
398.000,969.636,1017.207,0.166033,0,1,1,398
268.000,823.171,1448.887,0.193621,0,1,2,268
268.000,822.618,1454.107,0.107872,0,1,2,268
269.000,825.081,1453.030,0.514591,0,1,2,269
269.000,825.445,1450.919,0.423401,0,1,2,269
269.000,826.433,1450.215,0.133128,0,1,2,269
270.000,826.294,1453.502,0.659591,0,1,2,270
270.000,826.833,1451.870,0.347512,0,1,2,270
270.000,825.665,1450.511,0.111091,0,1,2,270
271.000,825.884,1453.902,0.550017,0,1,2,271
272.000,823.617,1454.589,0.585531,0,1,2,272
272.000,826.797,1453.837,0.423265,0,1,2,272
273.000,822.495,1455.590,0.681527,0,1,2,273
273.000,819.559,1457.268,0.476447,0,1,2,273
273.000,826.661,1454.577,0.314737,0,1,2,273
273.000,816.889,1460.266,0.273980,0,1,2,273
274.000,821.345,1457.156,0.744332,0,1,2,274
274.000,815.164,1460.877,0.680633,0,1,2,274
274.000,819.767,1459.599,0.255203,0,1,2,274
274.000,826.440,1454.895,0.105971,0,1,2,274
275.000,811.838,1464.516,0.626892,0,1,2,275
275.000,809.046,1466.806,0.279344,0,1,2,275
276.000,810.026,1467.086,0.691063,0,1,2,276
276.000,806.331,1469.566,0.387798,0,1,2,276
276.000,811.561,1464.556,0.143889,0,1,2,276
277.000,809.820,1467.606,0.661488,0,1,2,277
277.000,805.464,1470.609,0.162439,0,1,2,277
278.000,807.937,1469.152,0.461839,0,1,2,278
278.000,809.475,1467.151,0.218800,0,1,2,278
156.000,968.101,1762.309,0.105053,0,1,3,156
157.000,964.898,1763.183,0.541023,0,1,3,157
157.000,965.836,1760.698,0.107295,0,1,3,157
158.000,960.887,1762.298,0.788565,0,1,3,158
158.000,965.619,1761.065,0.106519,0,1,3,158
159.000,957.682,1760.299,0.793544,0,1,3,159
159.000,954.269,1761.553,0.207975,0,1,3,159
160.000,955.990,1759.825,0.760630,0,1,3,160
161.000,954.819,1760.540,0.699932,0,1,3,161
162.000,954.817,1761.867,0.693418,0,1,3,162
162.000,960.543,1763.577,0.131555,0,1,3,162
163.000,954.287,1763.439,0.741711,0,1,3,163
163.000,957.091,1763.360,0.593819,0,1,3,163
163.000,961.410,1764.650,0.182336,0,1,3,163
164.000,960.156,1764.905,0.687633,0,1,3,164
164.000,951.695,1765.946,0.631139,0,1,3,164
164.000,949.203,1765.135,0.193405,0,1,3,164
165.000,962.362,1765.884,0.690779,0,1,3,165
165.000,958.204,1767.050,0.561014,0,1,3,165
166.000,954.285,1765.570,0.698282,0,1,3,166
166.000,958.642,1765.343,0.644639,0,1,3,166
166.000,963.475,1764.289,0.241087,0,1,3,166
166.000,956.674,1766.813,0.170613,0,1,3,166
167.000,951.106,1766.049,0.643635,0,1,3,167
167.000,953.682,1766.132,0.410563,0,1,3,167
167.000,953.137,1769.142,0.121075,0,1,3,167
168.000,949.049,1766.560,0.409705,0,1,3,168
168.000,949.571,1771.140,0.131686,0,1,3,168
182.000,1014.777,1922.031,0.202520,0,1,3,182
283.000,911.775,1728.113,0.462356,0,1,3,283
283.000,910.526,1727.641,0.150112,0,1,3,283
284.000,912.125,1728.651,0.651803,0,1,3,284
284.000,911.117,1728.124,0.471731,0,1,3,284
284.000,913.426,1729.621,0.151788,0,1,3,284
285.000,912.192,1729.422,0.765501,0,1,3,285
286.000,911.371,1729.487,0.742034,0,1,3,286
287.000,910.871,1731.648,0.647293,0,1,3,287
287.000,911.181,1730.059,0.136007,0,1,3,287
288.000,902.405,1736.221,0.449553,0,1,3,288
288.000,909.746,1733.360,0.158673,0,1,3,288
288.000,905.991,1734.461,0.149616,0,1,3,288
288.000,901.446,1739.230,0.113838,0,1,3,288
289.000,900.025,1740.656,0.532427,0,1,3,289
289.000,902.009,1736.542,0.240447,0,1,3,289
290.000,898.064,1741.965,0.741823,0,1,3,290
290.000,900.864,1738.304,0.301345,0,1,3,290
291.000,896.956,1741.749,0.710993,0,1,3,291
291.000,899.325,1739.263,0.202198,0,1,3,291
292.000,895.335,1742.201,0.711785,0,1,3,292
292.000,898.020,1738.923,0.158134,0,1,3,292
293.000,894.642,1744.037,0.783653,0,1,3,293
293.000,897.317,1740.391,0.224396,0,1,3,293
293.000,898.486,1737.733,0.111845,0,1,3,293
294.000,893.421,1743.782,0.770849,0,1,3,294
294.000,895.781,1741.828,0.395004,0,1,3,294
294.000,894.492,1745.077,0.335823,0,1,3,294
114.000,992.387,2064.764,0.119277,0,1,4,114
119.000,997.268,2068.953,0.111013,0,1,4,119
120.000,996.462,2068.819,0.118863,0,1,4,120
121.000,995.794,2068.313,0.172197,0,1,4,121
122.000,995.398,2067.434,0.129821,0,1,4,122
