epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2105,2.55615,40.8778,1.19753,3e-05,0.05,2e-05,0,1.49544,27.9785,0.74129,0.000653846,0.000653846,0.000653846
2,15.8797,2.6812,25.5234,1.28676,0,0,0,0,1.73226,21.4271,0.85269,0.00127694,0.00127694,0.00127694
3,21.4612,2.793,19.699,1.4166,0,0,0,0,1.41505,11.8169,0.73635,0.00185603,0.00185603,0.00185603
4,26.9926,2.60911,16.3058,1.19713,3e-05,0.05,2e-05,1e-05,1.40518,5.27148,0.77276,0.001802,0.001802,0.001802
5,32.4765,3.08473,13.3229,1.38244,0.00017,0.2,0.00011,3e-05,1.96482,4.62775,0.8622,0.001736,0.001736,0.001736
6,37.9749,2.70746,12.3724,1.22221,0.00048,0.6,0.00689,0.00316,1.21914,7.06591,0.63606,0.00167,0.00167,0.00167
7,43.3555,2.42465,9.62914,1.14261,0.00048,0.3,0.01323,0.0038,1.16591,5.37365,0.60767,0.001604,0.001604,0.001604
8,48.8377,2.6959,7.73215,1.35774,0.1424,0.2,0.10518,0.0349,1.15757,4.49261,0.60173,0.001538,0.001538,0.001538
9,54.3454,2.30237,6.70199,1.16185,0.00023,0.15,0.0069,0.00182,1.36517,1.75961,0.64011,0.001472,0.001472,0.001472
10,59.805,2.2743,6.04426,1.1191,0.00046,0.3,0.0764,0.02894,1.23511,1.67137,0.63648,0.001406,0.001406,0.001406
11,65.2804,2.61499,5.57088,1.23802,0.29243,0.2,0.10346,0.04135,1.25293,1.77382,0.6177,0.00134,0.00134,0.00134
12,70.7223,2.49451,5.16443,1.1144,9e-05,0.05,0.04504,0.04054,1.07868,1.95286,0.59212,0.001274,0.001274,0.001274
13,76.0337,2.12774,4.57824,1.07272,0.00098,0.2,0.09611,0.03493,1.18441,1.72085,0.58661,0.001208,0.001208,0.001208
14,81.4461,2.26138,4.67493,1.07813,0.3538,0.25,0.19515,0.10529,1.02577,1.6446,0.54465,0.001142,0.001142,0.001142
15,86.8245,2.07828,3.6877,1.02493,0.62463,0.2,0.30966,0.15617,1.05857,1.36239,0.54829,0.001076,0.001076,0.001076
16,92.2441,2.1764,3.54718,1.09027,0.40606,0.35,0.25785,0.10359,1.02232,1.10772,0.53804,0.00101,0.00101,0.00101
17,98.1292,2.20203,3.38795,1.06658,0.45566,0.45,0.40133,0.21022,0.93172,1.02643,0.52235,0.000944,0.000944,0.000944
18,103.633,2.16208,2.95184,1.13634,0.34922,0.4,0.27849,0.13745,1.0329,1.14381,0.54405,0.000878,0.000878,0.000878
19,108.946,1.86169,2.8085,0.95091,0.41212,0.45,0.37845,0.21284,0.97165,0.87012,0.51737,0.000812,0.000812,0.000812
20,114.338,2.10136,2.95592,0.9835,0.41877,0.55,0.2884,0.10705,1.03728,0.906,0.52079,0.000746,0.000746,0.000746
21,136.128,1.63294,2.87291,0.81618,0.52155,0.45,0.40506,0.19824,0.97453,1.2629,0.52339,0.00068,0.00068,0.00068
22,141.391,1.64756,2.89482,0.88125,0.44028,0.35,0.37649,0.17513,0.87972,0.98666,0.50886,0.000614,0.000614,0.000614
23,146.603,1.67776,2.70686,0.88566,0.59487,0.35,0.35871,0.2245,0.9033,1.06576,0.51211,0.000548,0.000548,0.000548
24,151.825,1.60542,2.40962,0.88188,0.64176,0.5,0.56915,0.28299,0.77006,0.6907,0.49112,0.000482,0.000482,0.000482
25,157.103,1.64916,2.43056,0.89106,0.63748,0.55,0.57778,0.27903,0.8572,0.73746,0.4885,0.000416,0.000416,0.000416
26,162.387,1.49581,2.13754,0.8584,0.58912,0.55,0.63813,0.25585,0.8964,0.71936,0.48668,0.00035,0.00035,0.00035
27,167.611,1.6764,2.34991,0.84802,0.86452,0.45,0.64473,0.25472,0.86284,0.71519,0.48547,0.000284,0.000284,0.000284
28,172.822,1.35634,2.02735,0.80337,0.62352,0.7,0.68945,0.31999,0.82887,0.64844,0.48175,0.000218,0.000218,0.000218
29,178.025,1.54093,2.13595,0.8445,0.7598,0.63331,0.68985,0.30939,0.81617,0.56151,0.48179,0.000152,0.000152,0.000152
30,183.319,1.68066,2.12419,0.9094,0.67838,0.73864,0.67722,0.33908,0.81944,0.54355,0.48152,8.6e-05,8.6e-05,8.6e-05
