epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7408,1.70494,79.8649,0.77493,0,0,0,0,0.49803,34.0324,0.26155,0.000661458,0.000661458,0.000661458
2,29.9795,1.75389,37.9412,0.83599,0,0,0,0,0.54781,2960.34,1.6002,0.00131498,0.00131498,0.00131498
3,42.4039,1.73791,12.9715,0.85673,0,0,0,0,0.45647,nan,0.74809,0.00195529,0.00195529,0.00195529
4,54.7735,1.98951,5.01059,0.88334,0,0,0,0,0.45352,0.65584,0.20045,0.0019406,0.0019406,0.0019406
5,67.408,1.69753,3.18095,0.75918,0,0,0,0,0.40899,0.6213,0.19962,0.0019208,0.0019208,0.0019208
6,79.6916,1.64578,2.85117,0.7547,0,0,0,0,0.39861,0.60363,0.19119,0.001901,0.001901,0.001901
7,91.7048,1.40824,2.58683,0.64412,0,0,0,0,0.42415,0.72499,0.19018,0.0018812,0.0018812,0.0018812
8,104.166,1.56248,2.81475,0.69562,0,0,0,0,0.39535,0.57595,0.19494,0.0018614,0.0018614,0.0018614
9,116.613,1.70647,2.93874,0.76282,0,0,0,0,0.39104,0.64552,0.18986,0.0018416,0.0018416,0.0018416
10,129.062,1.60124,2.71161,0.72667,0,0,0,0,0.40751,0.5398,0.19447,0.0018218,0.0018218,0.0018218
11,149.785,1.53888,2.55171,0.73525,0,0,0,0,0.3946,0.57857,0.19431,0.001802,0.001802,0.001802
12,172.062,1.82157,3.0222,0.80941,0,0,0,0,0.33394,0.58354,0.17804,0.0017822,0.0017822,0.0017822
13,193.442,1.40699,2.71688,0.6641,0,0,0,0,0.35264,0.71381,0.18009,0.0017624,0.0017624,0.0017624
14,214.842,1.52053,2.6121,0.66455,0,0,0,0,0.3597,0.64852,0.1831,0.0017426,0.0017426,0.0017426
15,232.419,1.76163,2.86911,0.8082,0.00567,0.23529,0.00402,0.00073,0.39394,0.49466,0.1977,0.0017228,0.0017228,0.0017228
16,244.809,1.5369,2.59056,0.69299,0.05,0.11765,0.03139,0.00455,0.40144,0.48849,0.19264,0.001703,0.001703,0.001703
17,265.071,1.74482,2.79321,0.8192,0.0087,0.17647,0.0055,0.00214,0.39489,0.50285,0.19384,0.0016832,0.0016832,0.0016832
18,286.027,1.6467,2.79208,0.7491,0.00968,0.17647,0.0309,0.00747,0.32918,0.49891,0.17292,0.0016634,0.0016634,0.0016634
19,307.202,1.68769,2.72897,0.77436,0,0,0,0,0.34959,0.73709,0.18092,0.0016436,0.0016436,0.0016436
20,328.257,1.81426,3.25554,0.85993,0.01556,0.41176,0.03821,0.01764,0.29966,0.47543,0.16061,0.0016238,0.0016238,0.0016238
21,349.349,1.42436,2.43168,0.64366,0.01375,0.64706,0.01585,0.00659,0.32177,0.45643,0.16837,0.001604,0.001604,0.001604
22,370.038,1.34015,2.22198,0.65122,0.00976,0.70588,0.0446,0.01309,0.33504,0.44294,0.17136,0.0015842,0.0015842,0.0015842
23,390.856,1.47954,2.41407,0.70681,0.04969,0.47059,0.05095,0.02336,0.2965,0.50255,0.16693,0.0015644,0.0015644,0.0015644
