epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0382,1.70494,79.8649,0.77493,0,0,0,0,0.49803,34.0324,0.26155,0.000661458,0.000661458,0.000661458
2,29.1531,1.7521,37.2191,0.82448,0,0,0,0,0.43662,209.842,0.24718,0.00130183,0.00130183,0.00130183
3,41.6052,1.70969,11.6389,0.82268,0,0,0,0,0.43216,1.40476,0.23297,0.0019158,0.0019158,0.0019158
4,54.0153,2.0276,4.79391,0.96526,0,0,0,0,0.5185,0.72436,1.22186,0.0018812,0.0018812,0.0018812
5,66.1995,1.58938,3.13894,0.7396,0,0,0,0,0.39187,0.64353,0.18885,0.0018416,0.0018416,0.0018416
6,79.0626,1.63518,2.86205,0.77925,0,0,0,0,0.39579,0.83774,0.18106,0.001802,0.001802,0.001802
7,91.0901,1.4237,2.51848,0.64981,0,0,0,0,0.36479,59.6632,0.18837,0.0017624,0.0017624,0.0017624
8,103.177,1.47771,2.66297,0.6852,0,0,0,0,0.3686,0.61509,0.18293,0.0017228,0.0017228,0.0017228
9,115.417,1.74278,2.97536,0.78982,0,0,0,0,0.36447,0.69044,0.18228,0.0016832,0.0016832,0.0016832
10,127.622,1.67271,2.74792,0.7534,0,0,0,0,0.37675,0.6157,0.18556,0.0016436,0.0016436,0.0016436
11,139.652,1.53287,2.55294,0.70661,0,0,0,0,0.40896,0.66049,0.19615,0.001604,0.001604,0.001604
12,152.142,1.77969,2.89441,0.80964,0.00862,0.23529,0.01642,0.00384,0.38336,0.50218,0.17862,0.0015644,0.0015644,0.0015644
13,164.355,1.49922,2.69129,0.6905,0,0,0,0,0.34858,0.71251,0.17711,0.0015248,0.0015248,0.0015248
14,176.517,1.44541,2.53521,0.70999,0,0,0,0,0.40872,0.67785,0.19696,0.0014852,0.0014852,0.0014852
15,189.066,1.76582,2.97669,0.80781,0,0,0,0,0.40065,0.54341,0.18678,0.0014456,0.0014456,0.0014456
16,201.305,1.49207,2.56395,0.67325,0.03093,0.17647,0.02111,0.00757,0.39884,0.49649,0.18568,0.001406,0.001406,0.001406
17,213.91,1.64734,2.82051,0.80487,0.00255,0.70588,0.01079,0.00283,0.32982,0.51307,0.17603,0.0013664,0.0013664,0.0013664
18,226.325,1.58637,2.72065,0.73527,0.00389,0.58824,0.00833,0.00167,0.37192,0.51426,0.18424,0.0013268,0.0013268,0.0013268
19,238.707,1.63018,2.60646,0.76279,0,0,0,0,0.37061,0.65376,0.18117,0.0012872,0.0012872,0.0012872
