epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,170.075,1.96685,10.6946,0.69674,0.04247,0.03716,0.02342,0.00672,1.58727,1.98875,0.57378,0.00998905,0.00332968,0.00998905,0.00332968,0.00998905,0.00332968,0.00998905,0.00332968
2,307.82,2.061,2.52796,0.75163,0.00222,0.0473,0.00289,0.00083,1.73989,1.85327,0.63404,0.0198901,0.00663003,0.0198901,0.00663003,0.0198901,0.00663003,0.0198901,0.00663003
3,439.941,2.11268,2.63352,0.77072,0,0,0,0,1.46683,1.94537,0.60403,0.0296922,0.00989739,0.0296922,0.00989739,0.0296922,0.00989739,0.0296922,0.00989739
4,571.339,2.08019,2.55863,0.7975,0.00359,0.15878,0.00251,0.00066,1.62558,1.89613,0.61147,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,707.21,2.1109,2.62149,0.75835,0.00351,0.2027,0.00291,0.00087,1.56383,1.83664,0.58104,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,843.382,2.04478,2.51626,0.72962,0.00343,0.36149,0.00537,0.00146,1.44796,1.79812,0.57668,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,990.515,2.03772,2.47882,0.72902,0.00462,0.36824,0.00729,0.00202,1.52597,1.8125,0.59018,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1149.79,2.07576,2.55709,0.72119,0.00309,0.34122,0.00438,0.00133,1.52242,1.77544,0.55124,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1284.65,2.08964,2.62262,0.73146,0.004,0.42568,0.01058,0.00247,1.46769,1.72757,0.54317,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1418.98,2.14643,2.6321,0.74666,0.00506,0.43581,0.02434,0.00443,1.47397,1.71129,0.53941,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1546.84,1.98608,2.41072,0.69374,0.00546,0.36486,0.04297,0.01038,1.5439,1.71122,0.55909,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1679.25,2.00045,2.3536,0.6925,0.00814,0.39865,0.0298,0.00849,1.45652,1.74904,0.54131,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
